Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197401,21.3121,14.9609,14.2728,5.7999,4.1667,3.3956
197402,1.6403,1.7271,-0.0331,2.9362,0.1011,-0.98
197403,2.0099,1.6125,1.033,-1.9333,-1.8576,-2.5584
197404,-3.8708,-4.8553,-5.984,-3.6902,-6.3999,-7.0813
197405,-6.3633,-6.6444,-8.0241,-6.1633,-5.4587,-7.5846
197406,-1.208,-2.132,-3.4714,-1.6651,-3.3013,-4.965
197407,-3.647,-3.7835,-6.1626,-2.5807,-5.2557,-7.0817
197408,-6.242,-7.1538,-8.8111,-7.0263,-9.323,-11.3162
197409,-7.2678,-6.5404,-10.3461,-6.6016,-7.1032,-12.175
197410,8.6513,8.4555,9.0956,15.1659,15.3833,19.1346
197411,-4.4811,-5.4026,-7.1096,-2.1621,-2.8528,-3.9652
197412,-8.6503,-7.5021,-9.7071,-2.6508,-2.9331,-5.4081
197501,35.0259,30.5139,34.278,21.2074,19.924,20.6201
197502,5.3,4.926,5.6349,3.8441,4.436,6.6404
197503,9.6224,8.6445,12.0752,5.0218,4.5382,6.4587
197504,2.8334,3.9396,4.4166,4.0371,3.7358,6.0957
197505,7.7811,7.5052,9.8173,6.437,6.5548,5.3744
197506,8.8948,9.0845,8.0446,6.2755,6.9503,6.171
197507,0.4833,0.1187,-0.719,-5.9685,-5.4029,-6.1035
197508,-6.4076,-4.9009,-5.8245,-3.4615,-2.6224,-3.4979
197509,-3.3202,-3.4093,-3.4142,-5.3047,-3.398,-4.1746
197510,1.5939,1.6226,1.5047,7.5927,5.9301,3.9619
197511,2.2133,2.4991,1.82,3.8425,3.9829,2.8198
197512,0.3589,-0.7478,-1.3412,-0.1775,-0.1892,-0.7662
197601,23.7421,21.5063,21.2037,16.809,14.1502,14.1961
197602,17.0713,12.5922,11.8171,4.7395,2.4184,1.4417
197603,2.639,1.5536,1.5012,2.4184,1.506,1.4661
197604,-1.0387,-0.8099,-1.4938,-2.5829,-0.766,-0.9834
197605,-3.4024,-2.4655,-2.0924,-1.9628,-1.8353,-0.0452
197606,2.5908,2.6148,2.6053,7.5761,5.113,4.5955
197607,0.2137,0.5818,0.0378,-0.4845,0.0307,-0.7194
197608,-2.9413,-1.0764,-2.3315,-2.7163,-0.101,-0.7237
197609,1.0449,1.9891,1.6396,1.9197,1.9544,3.2298
197610,-3.0197,-2.0173,-2.2466,-2.7431,-2.1555,-2.164
197611,1.7783,2.7576,2.9658,3.6798,3.126,2.0416
197612,11.8948,10.5151,10.5244,7.8737,7.7522,6.0739
197701,6.6484,3.9781,4.4879,-2.3919,-2.8526,-3.4519
197702,0.953,0.7112,-0.3757,-2.3796,-1.7836,-2.5559
197703,1.3592,1.036,0.9769,-0.1556,-0.1392,-0.0935
197704,2.394,1.593,1.6223,1.1537,1.8782,0.8485
197705,0.8622,0.464,0.308,-1.4341,-0.7382,-0.3786
197706,6.1124,5.4599,5.4818,4.1261,4.5955,6.3102
197707,1.7994,0.9665,2.0311,-1.7321,-1.4149,-1.6146
197708,-0.9002,0.0183,-0.4385,-1.1804,-1.7674,-1.2878
197709,1.4115,1.4269,1.648,-0.8999,-0.2753,1.0057
197710,-2.3726,-1.5452,-2.5143,-3.5746,-3.4733,-3.8515
197711,7.5436,7.9657,7.4447,6.9529,5.715,5.6092
197712,2.1138,1.9452,3.3443,0.9892,0.5948,-0.068
197801,0.6554,-0.855,-1.4344,-4.3407,-4.8451,-6.262
197802,3.682,2.7302,3.0505,-0.1936,-0.8525,-0.7623
197803,8.3417,6.7399,7.481,6.7767,3.9658,4.8042
197804,8.5363,7.9651,8.4963,7.8636,7.4541,8.2952
197805,9.6578,6.3155,8.2527,4.1599,2.9534,3.306
197806,1.5611,1.2287,0.6576,-0.9734,-0.8404,-0.5239
197807,4.4823,5.8303,5.582,6.0295,5.04,6.7076
197808,11.7693,9.6471,10.6802,4.5642,4.8235,5.4699
197809,2.1354,-0.008,-0.0145,-0.7426,-0.9757,-1.9372
197810,-20.2981,-18.9347,-22.2349,-14.8564,-11.7952,-13.4839
197811,3.5847,5.0177,6.5169,3.9804,2.7187,4.0871
197812,0.4751,1.1979,2.6005,0.3113,0.8773,1.752
197901,12.3738,9.4038,9.9312,8.0119,6.1536,5.468
197902,-1.7188,-1.8489,-2.2093,-2.6227,-3.1979,-4.0666
197903,8.6279,7.5539,9.6656,9.1582,6.4612,7.7985
197904,3.8944,2.5158,2.7112,0.3785,1.0577,0.681
197905,-0.3283,-0.8171,0.4123,-1.5424,-0.9825,-1.2499
197906,5.0595,5.1326,5.8079,5.148,5.6593,5.6024
197907,1.9476,2.9599,1.9657,3.4172,2.3287,2.9851
197908,7.5399,7.9576,8.6293,6.0848,6.1186,7.994
197909,0.1939,-0.2592,-0.5923,-0.9042,-0.5734,-0.3038
197910,-9.9137,-9.4175,-10.446,-8.1309,-8.285,-8.2912
197911,5.2443,6.4614,8.3185,6.9126,6.551,7.7147
197912,7.2008,7.7872,7.456,3.8618,2.1569,4.3006
198001,11.5922,10.503,11.1877,6.4223,4.5939,5.5083
