Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197404,-5.0224,-4.9849,-4.7956,-7.5685,-5.9498,-5.8426
197405,-7.1764,-7.1818,-6.6857,-8.5033,-6.1338,-5.2721
197406,-2.3035,-2.2425,-2.6492,-3.4701,-3.94,-2.9609
197407,-4.1012,-3.8984,-6.1816,-3.1107,-4.6218,-7.3532
197408,-7.4403,-7.9816,-7.5705,-7.6835,-9.6822,-10.2369
197409,-7.6468,-7.291,-9.7793,-6.7938,-7.7167,-12.0363
197410,8.5011,8.3738,9.1157,16.626,15.3993,17.7718
197411,-5.9602,-5.2036,-6.28,-1.1873,-2.9915,-4.2795
197412,-9.6691,-7.4049,-8.9235,-4.6343,-2.9014,-4.2637
197501,37.7196,30.0408,31.7766,20.7008,20.2405,20.4062
197502,6.882,5.2504,4.2041,4.1747,4.1477,6.9865
197503,9.8088,8.879,12.0141,3.1747,5.1599,7.0144
197504,3.5519,3.1496,4.829,4.1849,4.5338,5.3881
197505,8.9229,8.1066,8.4728,6.7962,5.6895,5.7842
197506,9.6636,7.966,7.603,7.5747,7.1967,5.1122
197507,0.3454,0.4585,-0.0534,-6.0285,-5.5137,-5.7105
197508,-5.741,-5.0978,-5.2353,-3.6171,-2.9792,-2.5832
197509,-3.8919,-2.8252,-3.6684,-4.4791,-4.2229,-3.4311
197510,-0.3391,2.0505,1.6163,5.9268,6.1552,4.7224
197511,1.0771,2.5822,2.0001,4.4874,3.4153,3.2007
197512,-0.104,-0.8384,-0.6037,0.0418,-0.2945,-0.9723
197601,23.3772,19.8373,19.4199,14.5781,14.4332,14.7276
197602,17.7179,11.4824,10.9057,3.1929,1.8663,2.8574
197603,2.8517,1.3269,2.6988,2.8697,1.5143,1.2046
197604,-0.8142,-0.8442,-0.683,-1.3873,-0.894,-1.436
197605,-3.5536,-2.4229,-1.3943,-2.1175,-1.296,-0.4332
197606,2.0925,2.8779,2.6835,5.7075,5.4554,5.0513
197607,-0.1562,1.3058,-0.3264,0.9812,-0.6745,-0.9903
197608,-3.586,-0.6853,-2.0449,-0.5335,-0.2781,-1.7134
197609,0.5405,1.7714,2.497,1.7821,2.9528,2.2373
197610,-3.1064,-1.6313,-2.2832,-2.1562,-2.015,-2.6192
197611,2.0662,2.3491,2.9526,2.6292,2.4482,3.0533
197612,11.7386,9.8269,11.1109,7.2275,7.3781,6.7557
197701,6.3649,4.9183,4.089,-3.0821,-2.9286,-3.1671
