Month,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
194707,7.04,5.82,5.54,8.38,5.79,3.03
194708,-2.82,-1.09,0.62,-4.7,-1.94,-1.38
194709,0.53,1.19,1.78,0.44,-0.23,-0.85
194710,3.16,2.77,4.41,1.44,2.33,2.86
194711,-6.01,-3.01,-1.45,-4.62,-1.9,-0.73
194712,-0.1,1.31,3.9,0.9,3.04,4.1
194801,1.02,-1.81,-3.25,-1.23,-3.55,-5.54
194802,-7.32,-5.6,-6.78,-6.15,-4.21,-3.75
194803,9.02,8.18,9.53,10.42,6.57,9.53
194804,1.93,2.49,4.98,1.26,2.12,6.33
194805,8.99,9.25,9.84,4.65,7.58,8.56
194806,-3.35,-2.04,2.32,-0.97,0.2,1.34
194807,-5.2,-4.7,-6.05,-3.48,-5.49,-5.79
194808,-1.58,-0.26,-0.06,1.25,0.29,0.18
194809,-4.5,-3.6,-5.41,-2.49,-2.31,-4.1
194810,3.06,4.89,6.72,5.32,5.75,7.23
194811,-12.69,-8.68,-11.16,-10.47,-7.87,-10.82
194812,-1.53,-0.18,3.73,0.6,3.19,4.65
194901,3.55,1.66,1.38,2.52,1.04,-1.15
194902,-5.06,-4.64,-5.53,-3.06,-1.84,-3.42
194903,7.7,5.32,6.78,5.11,3.45,4.3
194904,-4.56,-3.11,-1.56,-4.4,-1.82,-1.28
194905,-7.18,-4.28,-3.38,-4.3,-3,-2.03
194906,-0.46,-1.61,-1.67,1.71,0.01,0.37
194907,6.73,6.6,6.06,7.15,6.27,4.75
194908,1.34,3.45,4.14,2.33,2.54,2.93
194909,5.5,3.41,4.94,5.51,2.52,3.24
194910,4.36,4.03,3.61,2.66,3.09,3.41
194911,-0.3,1.2,1.07,1.78,1.25,2.94
194912,8.77,7.08,7.6,6.54,4.05,6.14
195001,6.98,4.06,3.74,3.3,0.99,1.89
195002,2.04,0.4,2.01,-0.07,1.3,2.69
195003,-2.14,-1.1,0.57,1.75,1.02,2.11
195004,7.15,4.89,4.34,2.82,3.07,6.29
195005,2.67,3.17,2.92,4.76,3.94,5.27
195006,-6.75,-7.44,-9.2,-5.13,-5.83,-6
195007,5.43,6.65,6.25,1.25,2.7,-0.51
195008,5.29,4.16,7.24,2.74,4.15,7.2
195009,5.8,4.72,5.41,5.18,4.42,5.32
195010,-0.78,0.11,0.43,-0.87,-0.17,0.76
195011,1.46,2.45,4.79,-0.39,4.52,3.45
195012,6.21,8.23,11.78,2.38,6.35,6.75
195101,7.99,7.7,10.03,4.56,5.51,6.52
195102,1.9,1.23,1.22,2.7,1.88,0.23
195103,-1.7,-3.19,-5.42,-1.12,-1.48,-3.3
195104,1.56,4.06,5.66,0.87,5.54,8.79
195105,-3.23,-2.47,-3.46,-0.73,-2.9,-2.36
195106,-3.72,-5.06,-7.53,-1.24,-3,-2.21
195107,2.73,4.84,9.57,4.1,6.21,11.73
195108,5.01,5.13,6.53,3.58,4.98,4.07
195109,2.2,2.54,3.14,0.03,1.65,0.2
195110,-2.41,-2.12,-2.86,-1.81,-2.91,-1.99
195111,-0.17,0.48,1.21,0.68,0.87,0.55
195112,0.62,0.69,1.3,2.05,3.35,4.76
195201,1.27,1.78,2.23,1.57,0.22,3.34
195202,-1.83,-1.38,-3.01,-3.04,-1.67,-3.35
195203,2.03,2.31,3.08,3.8,3.69,6.05
195204,-4.29,-3.6,-5.64,-3.84,-3.42,-6.56
195205,1.46,2.14,2.71,3.8,3.08,3.52
195206,1.84,3.26,3.28,2.98,3.9,4.54
195207,0.7,1.22,0.85,1.87,1.19,0.69
195208,0.23,0.06,0.79,-0.86,-0.47,-0.81
195209,-2.48,-0.71,-0.67,-3.32,-1.74,-1.61
195210,-2.94,-1.67,0.6,-1.89,-0.5,0.08
195211,5.77,5.63,6.05,6.17,5.61,6.77
195212,1.38,2.14,2.7,2.12,2.74,3.83
195301,3.58,3.65,3.97,-1.48,-0.13,-0.44
195302,1.37,1.64,2.76,-0.41,-0.36,-0.08
195303,-2.25,-1.38,-1.37,-1.15,-0.78,-1.88
195304,-2.56,-1.96,-1.84,-4.57,-2.27,-1.58
195305,-0.25,0.78,1.27,0.79,0.37,1.14
195306,-4.35,-3.35,-2.98,-0.94,-1.58,-2.33
195307,1.41,1.48,1.27,3.05,2.32,2.57
195308,-7.42,-4.72,-4.24,-5.36,-3.77,-4.12
195309,-2.95,-1.11,-0.34,-1.02,0.15,2.13
195310,3.33,3.55,4.16,4.79,4.93,4.51
195311,1.35,1.03,2.35,1.36,2.71,4.27
195312,-5.36,-1.27,1.1,-2.7,0.4,1.22
195401,9.97,7.12,3.67,9.15,4.95,3.97
195402,0.57,1.06,1.73,1.26,1.54,2.15
195403,1.96,2.19,4.11,2.83,2.66,5.07
195404,-1.43,2.02,1.91,-0.26,3.76,6.36
195405,5.83,3.43,5.54,5.64,3.93,1.96
195406,-0.27,1.88,2.6,-2.35,0.81,1.82
195407,7.57,6.97,8.51,4.15,6.06,4.08
195408,-0.1,0,-0.15,-2.12,-1.41,-3.36
195409,3.88,4.02,4.69,6.09,5.21,8.34
195410,-1.02,-0.5,-0.08,-1.54,-2.55,-0.56
195411,9.64,8.34,9.11,6.5,9.11,10.89
195412,12.03,9.37,8.44,5.04,5,5.82
195501,0.73,1.99,2.12,0.09,0.21,1.42
195502,3.44,4.71,5.46,3.21,2.51,3.36
195503,0.13,-0.28,0.62,-0.37,-0.53,1.19
195504,1.5,2.52,1.5,2.31,4.07,2.48
195505,0.58,0.58,0.71,0.5,1.44,1.49
195506,1.35,3.35,4.2,3.63,7.45,10.1
195507,0.63,1.16,0.28,0.94,4.59,-1.16
195508,-0.6,0.28,1.29,-0.42,0.15,1.26
195509,-0.27,-1.28,0.82,-1.1,-1.46,1.34
195510,-2.09,-0.57,-0.91,-1.66,-1.81,-3.83
195511,5.65,4.82,6.59,4.38,7.01,8.79
195512,3.82,1.02,3.18,3.15,1.41,1.14
195601,-1.91,-1.62,-2.01,-1.36,-1.6,-4.21
195602,2.25,2.68,4.33,2.69,3.65,4.54
195603,2.47,4.86,6.15,4.61,5.81,8.12
195604,-0.51,-0.1,1.74,-1.49,-0.38,1.4
195605,-3.72,-3.78,-4.06,-3.22,-3.68,-6.1
195606,0.46,1.09,3.24,2.43,2.44,5.09
195607,2.34,2.76,4.85,3.21,5.22,5.73
195608,-1.6,-0.58,-0.96,-2.68,-1.42,-4.7
195609,-3.16,-2.33,-2.72,-4.59,-3.58,-6.56
195610,-1.48,1.13,2.49,0.51,0.25,1.46
195611,0.49,0.56,2.15,-2.52,-0.05,2.64
195612,0.11,1.44,5.65,2.7,2.96,4.77
195701,3.55,0.41,-0.17,-2.63,-2.71,-5.01
195702,-3.49,-1.9,-2.54,-2.31,-0.93,-2.64
195703,2.56,2.67,1.58,1.68,2.87,2.29
195704,1.51,0.94,2.2,4.34,4.47,5.56
195705,1.8,1.56,1.18,3.45,3.52,4.95
195706,-1.41,-0.42,-0.78,-0.6,-0.95,0.31
195707,-0.02,0.77,-0.06,0.77,1.37,0.67
195708,-5.8,-3.46,-5.24,-6.2,-3.42,-5.79
195709,-6.53,-4.8,-4.51,-5.9,-4.81,-6.69
195710,-8.72,-6,-7.58,-6.05,-3.58,-3.31
195711,0.64,0.95,2.94,3.43,1.42,3.63
195712,-9.35,-4.52,-1.67,-9.46,-3.7,-1.56
195801,16.4,10.34,7.18,8.91,4.74,2.86
195802,-3.56,-0.12,1.39,-3.11,-2.07,-0.55
195803,5.29,2.76,4.91,6.52,2.66,3.21
195804,1.96,1.95,4.39,1.57,3.85,2.83
195805,5.35,3.97,3.62,3.93,2.01,2.02
195806,3.31,2.82,2.6,3.92,2.72,2.88
195807,8.17,5.76,3.26,4.4,5.37,2.08
195808,2.51,3.57,4.65,2.49,1.98,0.91
195809,6.54,5.48,4.87,5.07,4.79,4.49
195810,2.65,2.41,5.13,1.48,2.33,5.23
195811,3.74,5.04,4.74,2.35,3.11,4.5
195812,4.4,3.08,3.14,5.63,5.24,5.59
195901,4.59,6.57,4.33,0.81,0.64,0.6
195902,2.08,2.94,4.3,-1.1,1.03,3.48
195903,1.01,2.27,1.81,0.88,0.24,0.33
195904,1.43,1.6,4.11,2.45,4.2,6.08
195905,0.75,1.07,0.29,0.85,2.09,4.32
195906,-0.83,0.56,1.54,-1.22,-0.33,2.23
195907,2.48,2.32,3.97,3.81,4.22,1.7
195908,-0.9,-1.43,-2.78,-2.23,0.07,-2.26
195909,-4.84,-3.5,-4.72,-5.81,-4.05,-4.23
195910,1.01,1.42,4.7,0.37,0.6,3.63
195911,0.83,1.87,2.83,0.37,1.81,2.89
195912,0.95,2.73,3.39,2.98,3.14,2.52
196001,-1.46,-2.13,-6,-5.53,-6.74,-7.98
196002,-0.29,1.03,2.3,-2.18,1.87,2.94
196003,-4.15,-3.07,-2.08,-1.37,-1.48,-0.58
196004,-4.18,-2.29,-1.16,-2.62,-2.42,-0.02
196005,0.82,2.04,4.2,-0.2,2.13,6.05
196006,1.46,1.27,2.33,1.9,2.14,2.75
196007,-2.44,-0.95,-2.32,-0.82,-2.64,-2.49
196008,3.77,2.88,6.08,2.33,2.85,3.86
196009,-8.03,-5.66,-5.23,-4.42,-5.7,-6.64
196010,-4.71,-2.16,-3.19,-1.09,0.22,-0.14
196011,3.24,3.87,7.35,3.23,3.86,6.49
196012,2.99,3.45,3.14,4.25,3.39,6.82
196101,12.2,8.09,5.95,6.88,7.07,5.2
196102,6.66,6.43,8.66,4.01,2.67,4.07
196103,3.56,5.51,9.13,1.33,1.99,4.12
196104,0.05,0.39,2.96,-2.98,1,1.15
196105,5.73,4.22,4.14,3.1,2.86,1.7
196106,-5.99,-3.98,-5.29,-2.62,-2.73,-2.8
196107,1.28,1.02,0.67,2.47,3.2,3.63
196108,0.6,1.33,1.93,1.86,2.42,3.76
196109,-4.59,-2.92,-2.48,-1.41,-1.94,-2
196110,-0.53,2.55,3.25,1.81,2.29,4.22
196111,4.59,4.42,6.48,3.63,5.3,4.45
196112,0.82,-0.11,-0.52,0.55,1.58,-2.61
196201,0.96,1.22,-1.9,-3.67,-3.1,-4.84
196202,1.87,1.71,-0.01,0.75,3.47,0.71
196203,-2.18,-0.82,0.35,-1.22,-0.39,-0.12
196204,-9.08,-5.87,-6.94,-8.69,-6.53,-5.05
196205,-10.78,-8.74,-10.64,-8.6,-8.39,-8.04
196206,-12.18,-6.77,-6.01,-12.77,-8.81,-6.1
196207,7.2,6.62,6.42,4.55,6.72,6.75
196208,4.24,3.19,2.5,2.46,1.59,3.04
196209,-9.2,-5.98,-5.21,-7,-5.64,-3.04
196210,-4,-2.74,-3.29,-0.18,1.21,0.54
196211,18.48,14.1,11.29,16.02,10.21,8.91
196212,-5.53,-2.16,0.91,-1.54,1.11,3.61
196301,10.5,7.85,8.22,6.3,4.82,4.36
196302,-2.86,-0.83,0.59,-3.51,-2.2,-1.93
196303,0.62,1.84,2.64,3.38,2.54,4.52
196304,2.91,4.03,4.06,6,4.54,4.71
196305,4.04,3.31,4.46,2.34,1.24,2.66
196306,-1.1,-2.23,-0.99,-2.99,-2.44,-0.73
196307,-1.35,-1.1,-1.07,-1.53,0.04,0.16
196308,3.92,3.74,6.36,5.89,5.09,5.62
196309,-1.84,-0.88,-1.37,-2.45,-0.19,-2.65
196310,1.01,1.4,3.53,0.81,2.24,4.57
196311,-2.25,-0.96,-1.4,-0.33,0.53,-2.69
196312,-1.59,0.9,0.21,0.94,2.44,2.54
196401,2.49,3.19,1.94,0.27,2.87,2.95
196402,2.87,2.31,2.92,1.26,1.94,1.7
196403,2.7,3.81,3.78,1.4,1.51,1.75
196404,-0.23,-0.59,-0.46,1.15,0.63,0.19
196405,0.11,1.21,2.31,0.24,1.05,3.13
196406,0.93,1.37,1.48,1.35,1.45,1.74
196407,2.45,2.7,2.47,2.78,1.75,2.12
196408,-1.32,-0.47,-0.8,-0.36,-1.23,-1.28
196409,4.25,2.55,3.66,3.69,2.32,3.52
196410,0.63,2.11,1.92,1.67,0.64,0.63
196411,-1.17,0.92,-0.17,-0.01,-0.14,1.19
196412,-1.27,-0.28,-1.17,1.53,0.14,0.02
196501,7.52,6.34,5.99,3.72,4.05,2.64
196502,2.82,3.45,4.27,1.49,-0.23,0.6
196503,1.66,0.3,1.27,-1.11,-1.52,-0.55
196504,3.51,4.11,5.36,2.46,2.36,5.69
196505,-1.47,-0.77,-0.64,-0.09,-0.83,0.15
196506,-8.15,-7.94,-10.28,-3.53,-5.18,-7.66
196507,1.65,3,4.88,0.22,1.73,5.16
196508,4.79,4,6.84,2.2,2.27,5.3
196509,1.95,3.18,5.07,2.11,2.81,5.64
196510,4.59,5.92,7.34,1.38,2.63,5.51
196511,1.35,5.06,6.36,-0.49,-1.44,3.33
196512,4.63,4.28,4.26,1.11,0.66,1.77
196601,4.26,5.05,8.14,-1.41,0.61,5.56
196602,1.69,1.82,5.25,-2.48,-1.63,3.05
196603,-1.83,-2.37,-2.03,-2.84,-2.3,0.07
196604,0.2,4.07,8.65,0.75,2.39,4.72
