Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197305,-8.877,-7.4132,-8.2065,-4.2677,-1.2591,-1.1358
197306,-2.8195,-3.0921,-4.9869,-1.6925,-1.504,-0.1999
197307,13.4853,9.492,15.8288,7.2446,4.6981,4.5484
197308,-3.7993,-4.509,-4.704,-1.626,-2.8251,-3.5149
197309,9.3077,9.6496,10.1795,7.728,8.019,2.395
197310,1.3932,0.0705,-2.5747,-0.0408,-0.6386,0.1716
197311,-17.6468,-18.0227,-21.9068,-10.3995,-12.447,-11.4076
197312,-1.3024,-2.2266,-2.3215,4.2966,3.7502,-0.4812
197401,12.1718,9.8763,8.7827,1.1117,0.1222,-1.5725
197402,1.6475,0.3018,0.2689,1.2297,1.6678,-1.3938
197403,-0.4949,-0.3385,0.4229,-5.9375,-2.6963,-1.2307
197404,-6.324,-4.9087,-4.793,-7.3881,-4.8363,-3.3139
197405,-8.0847,-7.3197,-6.4233,-9.6793,-3.5061,-1.4047
197406,-2.5028,-1.7688,-2.7365,-2.9838,-2.2829,-1.5291
197407,-3.7086,-4.0163,-5.8081,-4.5084,-7.3385,-8.8787
197408,-7.8413,-8.325,-8.2422,-8.8481,-8.6082,-8.683
197409,-7.9384,-7.5415,-10.3503,-7.7378,-8.6026,-14.136
197410,9.8027,9.0932,10.1386,17.7002,17.9604,17.4141
197411,-3.8931,-4.6624,-5.9378,-0.3545,-3.6137,-5.0941
197412,-6.5612,-5.7443,-7.5704,-3.2999,-0.5109,-3.4698
197501,27.479,25.8466,27.6691,14.9305,12.4636,12.8498
197502,6.3983,4.0313,3.4687,3.9588,3.6798,9.0099
197503,6.0957,6.269,10.0391,3.5041,3.1685,2.2362
197504,3.7051,4.2027,5.0677,4.2031,3.6662,5.7997
197505,9.0281,7.0997,7.5909,5.6911,5.7161,5.1405
197506,8.1102,6.904,6.1215,7.5111,5.9971,3.7083
197507,-3.3848,-2.0139,-2.492,-7.0564,-5.8391,-7.0091
197508,-5.7645,-4.2832,-4.9769,-2.9273,-2.3005,-1.5949
197509,-4.1335,-3.1465,-3.6958,-4.2795,-3.6612,-3.3535
197510,1.8685,2.0627,2.8934,7.1199,7.5116,5.2269
197511,1.6283,2.8019,2.6186,4.855,3.0575,2.7658
