Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198412,0.5692,2.2963,2.563,2.1813,2.5869,2.7469
198501,10.752,9.7952,13.7925,7.0503,6.8391,10.7765
198502,2.5098,2.6186,2.5498,2.7364,1.8592,0.6575
198503,-1.225,-0.1478,-2.7677,2.2177,0.4004,-2.1732
198504,-0.7173,0.8497,-1.5336,0.0538,-0.2267,-0.7854
198505,2.8184,3.8431,4.5938,5.4296,6.1824,6.5646
198506,1.292,2.9327,2.153,0.9823,2.0497,1.3885
198507,2.7707,2.1224,2.5002,-0.5554,-0.2638,-0.9499
198508,-0.4401,0.6418,-2.1063,0.4751,-0.5578,-1.2943
198509,-5.6239,-4.2185,-6.5542,-2.3941,-3.2664,-5.1762
198510,2.6368,4.1099,3.0315,3.445,5.2609,5.3069
198511,4.7521,7.3002,7.9101,6.0552,7.4777,7.2065
198512,2.8842,4.6109,4.743,3.6329,5.2248,4.0557
198601,1.3975,1.7264,2.5381,-1.3644,1.0889,2.4321
198602,5.3889,7.7372,7.6537,6.5179,8.1353,8.5769
198603,5.2154,5.277,4.4445,5.76,5.5568,5.3438
198604,1.0038,1.1415,2.1757,0.698,-2.0357,-1.4393
198605,3.6384,4.8978,3.5679,6.3764,4.6836,5.5928
198606,0.0218,1.592,-0.0426,1.1775,2.3806,0.0077
198607,-9.6139,-6.9117,-10.0751,-6.5099,-3.6433,-7.274
198608,3.8393,3.6213,2.4773,10.531,7.3738,5.4357
198609,-5.159,-5.6519,-7.4842,-4.0629,-9.3907,-8.9862
198610,3.5133,2.8792,3.7854,6.4857,5.8079,4.4153
198611,0.0958,0.35,-0.3614,2.1003,2.3543,1.3673
198612,-3.3081,-1.8477,-3.0111,-3.153,-2.2441,-3.2734
198701,11.8701,10.0287,12.0718,11.1212,13.4132,13.2105
198702,7.6609,6.7264,8.0268,1.7606,3.2459,6.9202
198703,4.2992,1.6144,0.997,5.9354,1.5295,1.1148
198704,-1.961,-2.9485,-3.498,-0.3122,-2.0763,-1.0628
198705,0.89,-0.1339,-0.0909,2.1055,0.575,0.3016
198706,2.4727,2.7344,2.3673,5.3203,5.6125,3.8676
198707,5.1535,3.3944,2.3524,5.5346,3.5534,5.2267
198708,1.198,3.8077,3.7681,3.8516,4.0877,4.5219
198709,-0.6871,-1.4054,-2.6083,-1.2246,-2.0663,-3.0627
198710,-29.7321,-26.4347,-32.0576,-21.1164,-20.0873,-23.6115
198711,-4.7008,-2.8682,-6.4983,-8.8561,-7.1701,-8.2293
198712,5.9713,6.8847,8.1392,6.3223,6.7724,8.757
198801,5.9551,4.4123,3.2565,6.0212,4.1218,4.4481
198802,7.4765,8.27,8.0864,5.3992,4.2186,5.1057
198803,4.6526,3.4081,3.1537,-0.813,-3.3133,-3.118
198804,3.152,2.1121,0.8681,1.8468,0.7069,0.3826
